name,description,neighborhood_overview,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price
"Near Palace Schönbrunn, Apt. 1",Welcome to my Apt. 1!<br /><br />This is a 2bedroom apartment for 4 - 6 persons.,"The neighbourhood offers plenty of restaurants and grocery shops. In the apartment you will find an area map marked with the different restaurants and shops in the area, including opening hours for your ease of reference.",Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Free dryer \u2013 In unit"", ""42 inch HDTV with standard cable"", ""Cleaning products"", ""Shower gel"", ""Stainless steel oven"", ""Bathtub"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Shampoo"", ""Coffee maker: Nespresso, pour-over coffee"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Rice maker"", ""Cooking basics"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Babysitter recommendations"", ""Microwave"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""Toaster"", ""Wifi"", ""Clothing storage: closet and wardrobe"", ""Freezer"", ""Hot water"", ""Bed linens"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""City skyline view"", ""Body soap"", ""Extra pillows and blankets"", ""Blender"", ""Drying rack for clothing"", ""Paid parking garage off premises"", ""Essentials"", ""Single level home"", ""Lockbox"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Radiant heating""]",$140.00
little studio- next to citycenter- wifi- nice area,"small studio in new renovated old house and very nice upcoming neighbourhood. close to many sights and subway. wifi. safe area, nice restaurants, bars and market. walking distance to citycenter. if wanted 2 old bicycles are available for free. touristtax of 3,2% is included in the price.","The neighbourhood has a lot of very nice little pubs and restaurants. 200 meters away you have the karmelitermarket, which is especially great on saturday morning. Aswell I like the Augarten, which is one of the biggist gardens in Vienna and just 5 minutes away! Beautiful old buildings are around and nearby is the modern Noveltower, including a skybar at the Sofitel (Praterstraße 1) which has a terrific view above the city!",Leopoldstadt,48.21778,16.37847,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Smoke alarm"", ""Stove"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Cooking basics"", ""Patio or balcony"", ""Hangers"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Refrigerator"", ""Kitchen"", ""Free washer"", ""Essentials"", ""Heating""]",$71.00
Near Palace Schönbrunn - Apt. 4,"Studio apartment for 4 persons:<br />- Bunk bed for 2 pers.<br />- Sofa bed for 2 pers.<br />- One extra mattress is available to sleep one more child if needed = 5 persons.<br /><br />Details:<br />- Built-in air-conditioning.<br />- Wifi Internet, 42inch flat screen TV, lots of international channels.<br />- Washing machine with dryer function. Also drying racks available.<br />-  Iron and iron board.<br />- Apartment size: 30m2.","The neighbourhood offers plenty of restaurants and grocery shops. In the apartment you will find an area map marked with the different restaurants and shops in the area, including opening hours for your ease of reference.",Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,4.0,"[""Smoke alarm"", ""Coffee"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Free dryer \u2013 In unit"", ""42 inch HDTV with standard cable"", ""Cleaning products"", ""Shower gel"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Shampoo"", ""Coffee maker: Nespresso, pour-over coffee"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Rice maker"", ""Oven"", ""Private entrance"", ""Cooking basics"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Babysitter recommendations"", ""Microwave"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""Toaster"", ""Wifi"", ""Clothing storage: closet and wardrobe"", ""Freezer"", ""Hot water"", ""Bed linens"", ""First aid kit"", ""Refrigerator"", ""Sound system"", ""Kitchen"", ""Dining table"", ""Body soap"", ""Extra pillows and blankets"", ""Blender"", ""Drying rack for clothing"", ""Ethernet connection"", ""Essentials"", ""Paid parking garage off premises"", ""Single level home"", ""Lockbox"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Radiant heating""]",$66.00
"Near Palace Schönbrunn, Apt. 5","Studio apartment for 4 persons:<br />- Bunk bed for 2 pers.<br />- Sofa bed for 2 pers.<br />- One extra mattress is available to sleep one more child if needed = 5 persons.<br /><br />Details:<br />- Air-conditioning.<br />- Wifi Internet, 42inch flat screen TV, lots of international channels.<br />- Washing machine with dryer function. Also drying racks available.<br />-  Iron and iron board.<br />- Apartment size: 30m2.","The neighbourhood offers plenty of restaurants and grocery shops. In the apartment you will find an area map marked with the different restaurants and shops in the area, including opening hours for your ease of reference.",Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,3.0,"[""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Free dryer \u2013 In unit"", ""42 inch HDTV with standard cable"", ""Cleaning products"", ""Shower gel"", ""Baby bath"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Shampoo"", ""Coffee maker: Nespresso, pour-over coffee"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Rice maker"", ""Oven"", ""Cooking basics"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Babysitter recommendations"", ""Microwave"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""Toaster"", ""Wifi"", ""Clothing storage: closet and wardrobe"", ""Barbecue utensils"", ""Freezer"", ""Hot water"", ""Bed linens"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Free street parking"", ""Elevator"", ""Body soap"", ""Extra pillows and blankets"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""Lockbox"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Radiant heating""]",$96.00
"Holiday Apartment ""Modern Vienna""","Modern ambiance in a turn of the century house: newly refurbished, lucid existing old dwelling (2nd floor with elevator) in quiet lane.<br />Direct connection to the city, to Westbahnhof (station) and lots of Viennese attractions, such as Schönbrunn, Stephansdom, Museumsquartier, Ringstraße, etc.<br />Supermarkets, restaurants (typical Viennese taverns) and recreations areas nearby.","Bakerys, Viennese wine taverns (“Heurige“) within walking distance. <br />Brunnenmarkt (market with hip bars and restaurants) only a few tram stations away. <br />Just a few minutes to Wilhelminenberg and its castle (with restaurant/café and a great view), to recreation area <br />Steinhofgründe and Kuffner Sternwarte (historical observatory). <br />Various public means of transport within walking distance (underground, rapid train, 3 tram lines, buses).",Ottakring,48.21543,16.30939,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Oven"", ""Cooking basics"", ""TV with standard cable"", ""Microwave"", ""Luggage dropoff allowed"", ""Hangers"", ""Washer"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Refrigerator"", ""Kitchen"", ""Elevator"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Essentials"", ""Heating"", ""Dishwasher""]",
Apartment with roofterrace (#1),"Our bright apartment with its own terrace overlooking the green inner court yard offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22353,16.31773,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Clothing storage: closet, wardrobe, and dresser"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Coffee maker"", ""Cleaning products"", ""Dedicated workspace"", ""Bathtub"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Central air conditioning"", ""Private entrance"", ""Courtyard view"", ""Oven"", ""Cooking basics"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Private patio or balcony"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Extra pillows and blankets"", ""Electric stove"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$151.00
In the Heart of Vienna - Naschmarkt,"Cosy and quiet room in elegant, high-ceilinged period apartment. Centrally located, restaurants, cafes, galleries and a cinema are all literally downstairs. Walking distance to Vienna's cultural centres and transport hubs.","Lovely neighbourhood, full of trendy cafés, bars, shops and galleries (near the famous Naschmarkt).<br />Walking distance to the historical city centre.<br /><br />Some restaurants I can recommend:<br />- Cafe Bacco: Great authentic Italian restaurant in the same building (next door). Chef Alberto from Tuscany offers a daily varying menu based on fresh and seasonal products, starting with a range of bruschette, followed by various antipasti, a choice of pasta, a main course of meat and a dessert. The full menu costs €35, if you leave out some courses you will pay accordingly less.<br /><br />- Taste of India: Indian restaurant on the opposite side of the street: Tasty Indian dishes, reasonably priced.<br /><br />- Zweitbester, Heumühlgasse 2  (around the corner): Young and modern restaurant, very good food (vegeterian as well as meat and fish), creative recipes, excellent burgers, sunday brunch, in teh evenings occasionaly dj-music.<br /><br />- Altes Fassl, Ziegelofengasse 37: about 1",Wieden,48.19527,16.36374,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Stove"", ""Wifi"", ""Oven"", ""Cooking basics"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Indoor fireplace"", ""Heating"", ""Lock on bedroom door""]",$58.00
Viennaflat mini: Centrally located studio,"The apartment Naschmarkt mini is beautiful studio in a calm neighborhood close to the famous Naschmarkt, Vienna's most popular market place with a lot of nice restaurants.<br /><br />The historic city center can be reached quickly: by foot it is a 10-15 minutes walk and with the metro you are even faster. The apartment is therefore the ideal base for singles, couples and small families to discover the beautiful city of Vienna.","Viennas famous Naschmarkt with many restaurants, market stands and bars and fleemarket and farmersmarket on saturdays is only a stone throw away. In Kettenbrückengasse you find beside normal supermarkets also some interesting local stores which sell organic and international food and furnitures of the 50ies and 60ies.",Margareten,48.19469,16.35963,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Stove"", ""Coffee maker"", ""Crib"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Iron"", ""Oven"", ""Cooking basics"", ""TV with standard cable"", ""Washer"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Pets allowed"", ""Lockbox"", ""Heating""]",$58.00
Viennaflat classic: spacious flat in the center,"The apartment Naschmarkt classic is beautiful flat in a calm neighborhood close to the famous Naschmarkt, Vienna's most popular market place with a lot of nice restaurants.<br /><br />The historic city center can be reached quickly: by foot it is a 10-15 minutes walk and with the metro you are even faster. The apartment is therefore the ideal base for singles, couples, families and smaller groups to discover the beautiful city of Vienna.",,Margareten,48.19469,16.35963,Entire rental unit,Entire home/apt,5,,1 bath,1.0,,"[""Stove"", ""Coffee maker"", ""Dryer"", ""Dedicated workspace"", ""Crib"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Iron"", ""Oven"", ""Cooking basics"", ""TV"", ""Washer"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Pets allowed"", ""Lockbox"", ""Heating"", ""Dishwasher""]",
Apartment in the Heart of Vienna,,,Wieden,48.19571,16.37501,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Washer"", ""Iron"", ""Heating"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Host greets you"", ""Hangers"", ""Air conditioning"", ""Hair dryer"", ""Elevator""]",$81.00
